route_id,trip_id
23879,6315787
23879,6315788
23879,6315878
23879,6315830
23879,6315815
23879,6315847
23879,6315797
23879,6315837
23879,6315838
23879,6315839
23879,6315840
23879,6315851
23879,6315866
23879,6315867
23879,6315785
23879,6315828
23879,6315826
23879,6315827
23879,6315799
23879,6315914
23879,6315814
23879,6315852
23879,6315853
23879,6315843
23879,6315861
23879,6315848
23879,6315841
23879,6315808
23879,6315809
23879,6315810
23879,6315842
23879,6315792
23879,6315833
23879,6315923
23879,6315907
23879,6315908
23879,6315879
23879,6315924
23879,6315910
23879,6315885
23879,6315896
23879,6315859
23879,6315889
23879,6315892
23879,6315798
23879,6315902
23879,6315834
23879,6315835
23879,6315874
23879,6315822
23879,6315831
23879,6315816
23879,6315796
23879,6315903
23879,6315865
23879,6315800
23879,6315801
23879,6315802
23879,6315875
23879,6315890
23879,6315891
23879,6315893
23879,6315894
23879,6315895
23879,6315813
23879,6315844
23879,6315793
23879,6315845
23879,6315906
23879,6315863
23879,6315864
23879,6315804
23879,6315900
23879,6315803
23879,6315823
23879,6315855
23879,6315856
23879,6315857
23879,6315858
23879,6315899
23879,6315832
23879,6315868
23879,6315916
23879,6315917
23879,6315918
23879,6315783
23879,6315812
23879,6315904
23879,6315806
23879,6315909
23879,6315880
23879,6315881
23879,6315882
23879,6315883
23879,6315869
23879,6315794
23879,6315901
23879,6315846
23879,6315886
23879,6315849
23879,6315817
23879,6315818
23879,6315819
23879,6315854
23879,6315898
23880,6316598
23880,6316554
23880,6316551
23880,6316580
23880,6316664
23880,6316656
23880,6316563
23880,6316568
23880,6316671
23880,6316574
23880,6316630
23880,6316631
23880,6316632
23880,6316633
23880,6316635
23880,6316644
23880,6316573
23880,6316581
23880,6316597
23880,6316646
23880,6316599
23880,6316659
23880,6316660
23880,6316661
23880,6316649
23880,6316616
23880,6316575
23880,6316576
23880,6316652
23880,6316636
23880,6316564
23880,6316565
23880,6316566
23880,6316567
23880,6316657
23880,6316608
23880,6316609
23880,6316637
23880,6316628
23880,6316591
23880,6316653
23880,6316643
23880,6316594
23880,6316674
23880,6316648
23880,6316553
23880,6316606
23880,6316560
23880,6316559
23880,6316651
23880,6316577
23880,6316578
23880,6316571
23880,6316613
23880,6316614
23880,6316654
23880,6316569
23880,6316570
23880,6316612
23880,6316655
23880,6316596
23880,6316645
23880,6316672
23880,6316593
23880,6316605
23880,6316582
23880,6316552
23880,6316592
23880,6316618
23880,6316629
23880,6316619
23880,6316620
23880,6316621
23880,6316638
23880,6316622
23880,6316623
23880,6316624
23880,6316625
23880,6316626
23880,6316627
23880,6316667
23880,6316607
23880,6316675
23880,6316676
23880,6316634
23880,6316595
23880,6316677
23880,6316669
23880,6316617
23880,6316549
23880,6316550
23880,6316665
23880,6316662
23880,6316663
23880,6316579
23880,6316601
23880,6316678
23880,6316679
23880,6316680
23880,6316681
23880,6316682
23880,6316647
23880,6316701
23880,6316670
23880,6316602
23880,6316640
23880,6316641
23880,6316658
23880,6316702
23880,6316668
23880,6316615
23880,6316548
